Herb_id,Field_name,Field_context
97,English_name,Jack Bean
98,Chinese_name,倒扣草
98,Pinyin_name,Daokoucao
98,English_name,Achyranthis Asperae Herba
99,Chinese_name,灯心草
99,Pinyin_name,Dengxincao
99,Latin_name,"Junci Medulla,Medulla Junci"
99,English_name,pith of Common Rush
100,Chinese_name,地耳草
100,Pinyin_name,Diercao
100,Latin_name,Herba Hyperici Japonici
100,English_name,all - grass of Japanese St. Johnswort
101,Chinese_name,地枫皮
101,Pinyin_name,Difengpi
101,Latin_name,"Illicii Cortex,Cortex Illicii"
101,English_name,Difengpi Bark
102,Chinese_name,地肤子
102,Pinyin_name,Difuzi
102,Latin_name,"Fructus Kochiae,Kochiae Fructus"
102,English_name,fruit of Belvedere
103,Chinese_name,地骨皮
103,Pinyin_name,Digupi
103,Latin_name,"Cortex Lycii Radicis,Lycii Cortex"
103,English_name,root - bark of Chinese Wolfberry
104,Chinese_name,地锦草
104,Pinyin_name,Dijincao
104,Latin_name,"Euphorbiae Humifusae Herba,Herba Euphorbiae Humifusae"
104,English_name,all - grass of Humifuse Euphorbia
105,Chinese_name,地榆
105,Pinyin_name,Diyu
105,Latin_name,"Sanguisorbae Radix,Radix Sanguisorbae"
105,English_name,Root of Garden Burnet
106,Chinese_name,丁公藤
106,Pinyin_name,Dinggongteng
106,Latin_name,"Caulis Erycibes,Erycibes Caulis"
106,English_name,Stem of Taiwan Erycibe
107,Chinese_name,丁香
107,Pinyin_name,Dingxiang
107,Latin_name,"Flos Caryophylli,Caryophylli Flos"
107,English_name,Clove
108,Chinese_name,冬虫夏草
108,Pinyin_name,Dongchongxiacao
108,Latin_name,Cordyceps
108,English_name,Chinese Caterpillar Fungus
109,Chinese_name,冬瓜皮
109,Pinyin_name,Dongguapi
109,Latin_name,"Exocarpium Benincasae,Benincasae Exocarpium"
109,English_name,Chinese Waxgourd Peel
110,Chinese_name,冬瓜子
110,Pinyin_name,Dongguazi
110,English_name,Benincasae Semen
111,Chinese_name,冬葵果
111,Pinyin_name,Dongkuiguo
111,Latin_name,"Fructus Malvae,Malvae Fructus"
111,English_name,Cluster Mallow Fruit
112,Chinese_name,豆蔻
112,Pinyin_name,Doukou
112,Latin_name,"Fructus Amomi Rotundus,Amomi Fructus Rotundus"
112,English_name,Round Cardamon Fruit
113,Chinese_name,独活
113,Pinyin_name,Duhuo
113,Latin_name,"Radix Angelicae Pubescentis,Angelicae Pubescentis Radix"
113,English_name,Doubleteeth Pubescent Angelica Root
114,Chinese_name,杜仲
114,Pinyin_name,Duzhong
114,Latin_name,"Cortex Eucommiae,Eucommiae Cortex"
114,English_name,Eucommia bark
115,Chinese_name,杜仲叶
115,Pinyin_name,Duzhongye
115,Latin_name,Eucommiae Folium
115,English_name,Eucommiae Folium
116,Chinese_name,断血流
116,Pinyin_name,Duanxueliu
116,Latin_name,"Herba Clinopodii,Clinopodii Herba"
116,English_name,Clinopodium Herb
117,Chinese_name,莪术
117,Pinyin_name,Ezhu
117,Latin_name,"Curcumae Rhizoma,Rhizoma Curcumae"
117,English_name,Zedoray Rhizome
118,Chinese_name,鹅不食草
118,Pinyin_name,Ebushicao
118,Latin_name,"Herba Centipedae,Centipedae Herba"
118,English_name,Small Centipeda Herb
119,Chinese_name,儿茶
119,Pinyin_name,Ercha
119,Latin_name,Catechu
119,English_name,"Cutch, Black Catechu"
120,Chinese_name,番泻叶
120,Pinyin_name,Fanxieye
120,Latin_name,"Sennae Folium,Folium Sene"
120,English_name,Sen leaf
121,Chinese_name,翻白草
121,Pinyin_name,Fanbaicao
121,Latin_name,"Herba Potentillae Discoloris,Potentillae Discoloris Herba"
121,English_name,all-grass of discolor cinquefoil
122,Chinese_name,防风
122,Pinyin_name,Fangfeng
122,Latin_name,"Radix Saposhnikoviae Divaricatae,Saposhnikoviae Radix"
122,English_name,root of Divaricate Saposhnikovia
123,Chinese_name,防己
123,Pinyin_name,Fangji
123,Latin_name,"Stephaniae Tetrandrae Radix,Radix Stephaniae Tetrandrae"
123,English_name,Root of Fourstamen Stephania
124,Chinese_name,粉萆薢
124,Pinyin_name,Fenbixie
124,Latin_name,Dioscoreae Hypoglaucae Rhizoma
124,English_name,Dioscoreae Hypoglaucae Rhizoma
125,Chinese_name,凤尾草
125,Pinyin_name,Fengweicao
125,Latin_name,Herba Pteridis Multifidae
125,English_name,all - grass of Chinese Brake
126,Chinese_name,凤仙透骨草
126,Pinyin_name,Fengxiantougucao
126,Latin_name,Herba Speranskiae Tuberculatae
126,English_name,all-grass of Tubercultae speranskia
127,Chinese_name,凤眼草
127,Pinyin_name,Fengyancao
127,English_name,Ailanthi Altissimae Fructus
128,Chinese_name,佛手
128,Pinyin_name,Foshou
128,Latin_name,"Fructus Citri Sarcodactylis,Citri Sarcodactylis Fructus"
128,English_name,Finger Citron
129,Chinese_name,茯苓
129,Pinyin_name,Fuling
129,Latin_name,Poria
129,English_name,Indian Bread
130,Chinese_name,浮萍
130,Pinyin_name,Fuping
130,Latin_name,"Spirodelae Herba,Herba Spirodelae"
130,English_name,all-grass of Common Ducksmeat
131,Chinese_name,附子
131,Pinyin_name,Fuzi
131,Latin_name,"Aconiti Lateralis Radix Praeparata,Radix Aconiti Lateralis"
131,English_name,Common Monkshood Daughter Root
132,Chinese_name,覆盆子
132,Pinyin_name,Fupenzi
132,Latin_name,Rubi Fructus
132,English_name,Rubi Fructus
133,Chinese_name,甘草
133,Pinyin_name,Gancao
133,Latin_name,"Glycyrrhizae Radix Et Rhizoma,Radix Glycyrrhizae"
133,English_name,Root of Ural Licorice
134,Chinese_name,甘松
134,Pinyin_name,Gansong
134,Latin_name,"Nardostachyos Radix Et Rhizoma,Radix Seu Rhizoma Rdostachyos"
134,English_name,rdostachys Root
135,Chinese_name,甘遂
135,Pinyin_name,Gansui
135,Latin_name,"Radix Kansui,Kansui Radix"
135,English_name,root of Gansui
136,Chinese_name,干姜
136,Pinyin_name,Ganjiang
136,Latin_name,"Zingiberis Rhizoma,Rhizoma Zingiberis"
136,English_name,Dried Ginger
137,Chinese_name,高良姜
137,Pinyin_name,Gaoliangjiang
137,Latin_name,Alpiniae Officinarum Rhizoma
137,English_name,Alpiniae Officirum Rhizome
138,Chinese_name,藁本
138,Pinyin_name,Gaoben
138,Latin_name,Ligustici Rhizoma Et Radix
138,English_name,Ligustici Rhizoma Et Radix
139,Chinese_name,葛花
139,Pinyin_name,Gehua
139,Latin_name,Flos Puerariae Lobatae
139,English_name,flower bud of lobed kudzuvine
140,Chinese_name,功劳木
140,Pinyin_name,Gonglaomu
140,Latin_name,"Mahoniae Caulis,Caulis Mahoniae"
140,English_name,Stem of Leatherleaf Mahonia
141,Chinese_name,钩藤
141,Pinyin_name,Gouteng
141,Latin_name,"Ramulus Uncariae Cum Uncis,Uncariae Ramulus Cumuncis"
141,English_name,Gambir Plant
142,Chinese_name,枸骨叶
142,Pinyin_name,Gouguye
142,Latin_name,Ilicis Cornutae Folium
142,English_name,Folium Ilicis Cornutae
143,Chinese_name,枸杞子
143,Pinyin_name,Gouqizi
143,Latin_name,"Lycii Fructus,Fructus Lycii"
143,English_name,fruit of Chinese Wolfberry
144,Chinese_name,谷精草
144,Pinyin_name,Gujingcao
144,Latin_name,"Flos Eriocauli,Eriocauli Flos"
144,English_name,Pipewort Flower
145,Chinese_name,骨碎补
145,Pinyin_name,Gusuibu
145,Latin_name,"Drynariae Rhizoma,Rhizoma Dryriae"
145,English_name,rhizome of Heartleaf Dryria
146,Chinese_name,瓜蒂
146,Pinyin_name,Guadi
146,Latin_name,Calycis Melo
146,English_name,Muskmelon base
147,Chinese_name,瓜蒌
147,Pinyin_name,Gualou
